ID	City	Icon	Latitude	Longitude
Atlanta_GA	Atlanta, GA		33.7491	-84.3902
Boston_MA	Boston, MA		42.3605	-71.0596
Charlotte_NC	Charlotte, NC		35.2271	-80.8431
Chicago_IL	Chicago, IL		41.8756	-87.6244
Dallas_TX	Dallas, TX		32.762	-96.779
Denver_CO	Denver, CO		39.7392	-104.985
Detroit_MI	Detroit, MI		42.3487	-83.0567
Fort_Lauderdale_FL	Fort Lauderdale, FL		26.1223	-80.1434
Houston_TX	Houston, TX		29.7589	-95.3677
Las_Vegas_NV	Las Vegas, NV		36.1663	-115.149
Los_Angeles_CA	Los Angeles, CA		34.0544	-118.244
Miami_FL	Miami, FL		25.7743	-80.1937
Minneapolis_MN	Minneapolis, MN		44.9773	-93.2655
New_York_NY	New York, NY	🗽	40.7306	-73.9866
Orlando_FL	Orlando, FL		28.5421	-81.379
Philadelphia_PA	Philadelphia, PA		39.9524	-75.1636
Phoenix_AZ	Phoenix, AZ		33.4486	-112.077
Portland_OR	Portland, OR		45.5202	-122.674
Salt_Lake_City_UT	Salt Lake City, UT		40.767	-111.89
San_Diego_CA	San Diego, CA		32.7174	-117.163
San_Francisco_CA	San Francisco, CA		37.7793	-122.419
Seattle_WA	Seattle, WA	☔️	47.6038	-122.33
Tampa_FL	Tampa, FL		27.9478	-82.4584
Washington_D.C.	Washington, D.C.		38.904722	-77.016389